World Rank,University Names,Location ,National Rank,Educational Rank,Employability Rank,Faculty Rank,Research Rank,Score
1125Top 5.5%,Czech University of Life Sciences Prague,Czech Republic,6,-,-,-,1076,69.7
1126Top 5.5%,Guangxi Medical University,China,173,-,-,-,1077,69.7
1127Top 5.5%,Medical University of Silesia,Poland,15,-,-,-,1078,69.7
1128Top 5.5%,Southwest Petroleum University,China,174,-,1060,-,1086,69.7
1129Top 5.5%,Åbo Akademi University,Finland,9,-,-,-,1080,69.7
1130Top 5.6%,Louisiana Tech University,USA,229,-,348,-,1146,69.7
1131Top 5.6%,Jiangxi Normal University,China,175,-,1531,-,1083,69.7
1132Top 5.6%,Assiut University,Egypt,5,-,1699,-,1084,69.7
1133Top 5.6%,University of Calcutta,India,22,541,642,255,1211,69.7
1134Top 5.6%,École nationale supérieure de chimie de Montpellier,France,49,-,-,-,1085,69.7
1135Top 5.6%,Federal University of Mato Grosso do Sul,Brazil,27,-,-,-,1087,69.6
1136Top 5.6%,Manhattan College,USA,230,-,118,-,1443,69.6
1137Top 5.6%,Zhejiang A&F University,China,176,-,-,-,1088,69.6
1138Top 5.6%,Pablo de Olavide University,Spain,41,-,-,-,1089,69.6
1139Top 5.6%,Changsha University of Science and Technology,China,177,-,1672,-,1090,69.6
1140Top 5.6%,Xi'an University of Technology,China,178,-,1181,-,1091,69.6
1141Top 5.6%,Southwestern University of Finance and Economics,China,179,-,176,-,1289,69.6
1142Top 5.6%,Soonchunhyang University,South Korea,36,-,-,-,1092,69.6
1143Top 5.6%,Gunma University,Japan,49,-,-,-,1093,69.6
1144Top 5.6%,Ural Federal University,Russia,20,-,1187,-,1095,69.6
1145Top 5.6%,IMT Atlantique,France,50,-,-,-,1094,69.6
1146Top 5.6%,Skolkovo Institute of Science and Technology,Russia,21,-,-,-,1096,69.6
1147Top 5.6%,Mohammed First University Oujda,Morocco,4,-,-,-,1097,69.6
1148Top 5.6%,"University of Veterinary Medicine, Vienna",Austria,14,-,-,-,1098,69.6
1149Top 5.6%,National Institute of Public Health (INSP),Mexico,7,-,-,-,1099,69.6
1150Top 5.7%,University of Sfax,Tunisia,2,-,-,-,1100,69.6
1151Top 5.7%,United States Naval Academy,USA,231,66,179,-,1850,69.6
1152Top 5.7%,Zagazig University,Egypt,6,-,-,-,1101,69.6
1153Top 5.7%,Marquette University,USA,232,-,252,-,1199,69.5
1154Top 5.7%,Teikyo University,Japan,50,-,-,-,1102,69.5
1155Top 5.7%,Andrés Bello University,Chile,5,-,1684,-,1104,69.5
1156Top 5.7%,Tôn Đức Thắng University,Vietnam,2,-,-,-,1103,69.5
1157Top 5.7%,University of Augsburg,Germany,57,-,1432,-,1105,69.5
1158Top 5.7%,National Defense Medical Center,Taiwan,16,-,-,-,1106,69.5
1159Top 5.7%,Hebei Medical University,China,180,-,1542,-,1107,69.5
1160Top 5.7%,University of the Free State,South Africa,8,-,-,-,1108,69.5
1161Top 5.7%,"University of Chemistry and Technology, Prague",Czech Republic,7,-,-,-,1109,69.5
1162Top 5.7%,Liverpool School of Tropical Medicine,United Kingdom,67,-,-,-,1110,69.5
1163Top 5.7%,University of Ibadan,Nigeria,1,-,-,-,1111,69.5
1164Top 5.7%,University of Waikato,New Zealand,7,-,749,-,1126,69.5
1165Top 5.7%,Mersin University,Turkey,15,-,-,-,1112,69.5
1166Top 5.7%,University of Pécs,Hungary,6,-,-,-,1114,69.5
1167Top 5.7%,Nagoya City University,Japan,51,-,881,-,1129,69.5
1168Top 5.7%,Jiangsu University of Science and Technology,China,181,-,-,-,1115,69.5
1169Top 5.7%,Metropolitan Autonomous University,Mexico,8,-,1687,-,1116,69.5
1170Top 5.7%,Institute of Mathematics of the National Academy of Sciences of Ukraine,Ukraine,1,27,-,-,-,69.5
1171Top 5.8%,University of Gdańsk,Poland,16,-,1053,-,1127,69.5
1172Top 5.8%,University of Agriculture Faisalabad,Pakistan,4,-,-,-,1117,69.4
1173Top 5.8%,Daegu Gyeongbuk Institute of Science and Technology,South Korea,37,-,-,-,1118,69.4
1174Top 5.8%,Aligarh Muslim University,India,23,-,1662,-,1119,69.4
1175Top 5.8%,Southwest University of Science and Technology,China,182,-,1515,-,1121,69.4
1176Top 5.8%,Shanghai University of Traditional Chinese Medicine,China,183,-,-,-,1120,69.4
1177Top 5.8%,National University of Sciences and Technology,Pakistan,5,-,-,-,1122,69.4
1178Top 5.8%,United Arab Emirates University,United Arab Emirates,2,-,1602,-,1123,69.4
1179Top 5.8%,Iran University of Medical Sciences,Iran,14,-,-,-,1124,69.4
1180Top 5.8%,Dokuz Eylül University,Turkey,16,-,-,-,1125,69.4
1181Top 5.8%,Sechenov University,Russia,22,-,1616,-,1128,69.4
1182Top 5.8%,Poznan University of Medical Sciences,Poland,17,-,-,-,1130,69.4
1183Top 5.8%,Indian Agricultural Research Institute,India,24,84,1199,-,1393,69.4
1184Top 5.8%,Anna University,India,25,552,1555,-,1131,69.4
1185Top 5.8%,Loma Linda University,USA,233,-,-,-,1132,69.4
1186Top 5.8%,Gran Sasso Science Institute,Italy,50,-,-,-,1133,69.4
1187Top 5.8%,Henan Agricultural University,China,184,-,1281,-,1136,69.4
1188Top 5.8%,University of Western Cape,South Africa,9,-,-,-,1134,69.4
1189Top 5.8%,Pukyong National University,South Korea,38,-,-,-,1135,69.4
1190Top 5.8%,Kharkov Institute of Physics and Technology,Ukraine,2,-,-,-,1137,69.4
1191Top 5.9%,Kyoto Prefectural University of Medicine,Japan,52,-,-,-,1138,69.4
1192Top 5.9%,University of Évry Val d'Essonne,France,51,-,-,-,1140,69.3
1193Top 5.9%,Sant'Anna School of Advanced Studies,Italy,51,-,-,-,1141,69.3
1194Top 5.9%,South Dakota State University,USA,234,296,-,-,1158,69.3
1195Top 5.9%,University of Puerto Rico at Mayagüez,USA,235,-,-,-,1143,69.3
1196Top 5.9%,University of the Punjab,Pakistan,6,418,1713,-,1148,69.3
1197Top 5.9%,San Francisco State University,USA,236,-,885,-,1151,69.3
1198Top 5.9%,Yamaguchi University,Japan,53,-,1524,-,1144,69.3
1199Top 5.9%,Federal University of Paraíba,Brazil,28,-,-,-,1145,69.3
1200Top 5.9%,"Vietnam National University, Hanoi",Vietnam,3,-,1535,-,1147,69.3
1201Top 5.9%,University of Neuchâtel,Switzerland,12,-,-,-,1149,69.3
1202Top 5.9%,Santa Clara University,USA,237,-,103,-,1618,69.3
1203Top 5.9%,Khon Kaen University,Thailand,4,-,-,-,1150,69.3
1204Top 5.9%,Heilongjiang University,China,185,-,1530,-,1152,69.3
1205Top 5.9%,University of Texas Rio Grande Valley,USA,238,-,-,-,1153,69.3
1206Top 5.9%,Federal University of Pará,Brazil,29,-,-,-,1154,69.3
1207Top 5.9%,University of Silesia in Katowice,Poland,18,-,-,-,1155,69.3
1208Top 5.9%,Mie University,Japan,54,-,-,-,1156,69.3
1209Top 5.9%,Visva-Bharati University,India,26,-,-,-,1157,69.3
1210Top 5.9%,Federal University of Espírito Santo,Brazil,30,490,-,-,1159,69.3
1211Top 5.9%,Henan Polytechnic University,China,186,-,1253,-,1160,69.2
1212Top 6%,Chemnitz University of Technology,Germany,58,-,1563,-,1161,69.2
1213Top 6%,Chung Shan Medical University,Taiwan,17,-,-,-,1162,69.2
1214Top 6%,Wuhan Institute of Technology,China,187,-,-,-,1163,69.2
1215Top 6%,Coventry University,United Kingdom,68,-,1133,-,1166,69.2
1216Top 6%,Federal University of São João del-Rei,Brazil,31,-,-,-,1164,69.2
1217Top 6%,New York Medical College,USA,239,-,-,-,1165,69.2
1218Top 6%,Conservatoire national des arts et métiers,France,52,-,1502,-,1167,69.2
1219Top 6%,Brno University of Technology,Czech Republic,8,-,-,-,1168,69.2
1220Top 6%,Nippon Medical School,Japan,55,-,-,-,1169,69.2
1221Top 6%,Magna Graecia University of Catanzaro,Italy,52,-,-,-,1170,69.2
1222Top 6%,Vellore Institute of Technology,India,27,-,-,-,1171,69.2
1223Top 6%,Mashhad University of Medical Sciences,Iran,15,-,-,-,1172,69.2
1224Top 6%,"California State University, Fresno",USA,240,-,-,-,1174,69.2
1225Top 6%,Tokyo Medical University,Japan,56,-,-,-,1175,69.2
1226Top 6%,Wilfrid Laurier University,Canada,30,-,497,-,1204,69.2
1227Top 6%,University of Las Palmas de Gran Canaria,Spain,42,-,-,-,1177,69.2
1228Top 6%,Howard University,USA,241,-,-,-,1178,69.2
1229Top 6%,Anhui Normal University,China,188,-,-,-,1179,69.2
1230Top 6%,Shaanxi University of Science and Technology,China,189,-,754,-,1189,69.2
1231Top 6%,Rouen Normandy University,France,53,471,-,-,1180,69.1
1232Top 6.1%,"University of the West of England, Bristol",United Kingdom,69,510,-,-,1181,69.1
1233Top 6.1%,China University of Mining and Technology-Beijing,China,190,-,1259,-,1183,69.1
1234Top 6.1%,United States Military Academy,USA,242,-,60,-,-,69.1
1235Top 6.1%,Nara Institute of Science and Technology,Japan,57,-,-,-,1182,69.1
1236Top 6.1%,İzmir Institute of Technology,Turkey,17,-,-,-,1184,69.1
1237Top 6.1%,Ca' Foscari University of Venice,Italy,53,-,1309,-,1185,69.1
1238Top 6.1%,University of Ghana,Ghana,1,-,1680,-,1186,69.1
1239Top 6.1%,Jikei University,Japan,58,-,-,-,1187,69.1
1240Top 6.1%,Prince of Songkla University,Thailand,5,-,-,-,1188,69.1
1241Top 6.1%,Austral University of Chile,Chile,6,-,1076,-,1193,69.1
1242Top 6.1%,Federal University of Uberlândia,Brazil,32,-,-,-,1190,69.1
1243Top 6.1%,Bournemouth University,United Kingdom,70,-,1592,-,1191,69.1
1244Top 6.1%,Xuzhou Medical University,China,191,-,-,-,1192,69.1
1245Top 6.1%,Fu Jen Catholic University,Taiwan,18,-,659,-,1207,69.1
1246Top 6.1%,University of South China,China,192,-,868,-,1195,69.1
1247Top 6.1%,Guangxi Normal University,China,193,-,-,-,1194,69.1
1248Top 6.1%,University of North Dakota,USA,243,-,816,-,1201,69.1
1249Top 6.1%,"California Polytechnic State University, San Luis Obispo",USA,244,-,464,-,1243,69.1
1250Top 6.1%,Oakland University,USA,245,368,1604,-,1202,69.1
1251Top 6.1%,Catholic University of America,USA,246,-,1111,-,1197,69.0
1252Top 6.1%,Stevens Institute of Technology,USA,247,395,241,-,1350,69.0
1253Top 6.2%,Fujita Health University,Japan,59,-,1354,-,1198,69.0
1254Top 6.2%,University of Lodz,Poland,19,509,1371,-,1200,69.0
1255Top 6.2%,Brock University,Canada,31,-,-,-,1203,69.0
1256Top 6.2%,Albany Medical College,USA,248,-,-,-,1205,69.0
1257Top 6.2%,Keimyung University,South Korea,39,-,1664,-,1206,69.0
1258Top 6.2%,Federal University of Lavras,Brazil,33,-,-,-,1208,69.0
1259Top 6.2%,Yokohama National University,Japan,60,439,251,-,1356,69.0
1260Top 6.2%,École centrale de Lyon,France,54,-,459,-,1258,69.0
1261Top 6.2%,Bowdoin College,USA,249,120,87,-,-,69.0
1262Top 6.2%,National Institute for Space Research (INPE),Brazil,34,-,-,-,1209,69.0
1263Top 6.2%,Sultan Qaboos University,Sultanate of Oman,1,-,-,-,1210,69.0
1264Top 6.2%,Ibero-American University,Mexico,9,-,244,-,1369,69.0
1265Top 6.2%,University of Hyderabad,India,28,-,-,-,1212,69.0
1266Top 6.2%,Tokat Gaziosmanpaşa University,Turkey,18,-,-,-,1213,69.0
1267Top 6.2%,Public University of Navarre,Spain,43,-,-,-,1214,69.0
1268Top 6.2%,Maynooth University,Ireland,8,-,-,-,1215,69.0
1269Top 6.2%,Northwest Normal University,China,194,-,-,-,1216,69.0
1270Top 6.2%,Tuscia University,Italy,54,-,-,-,1217,69.0
1271Top 6.2%,Chongqing University of Posts and Telecommunications,China,195,-,-,-,1218,68.9
1272Top 6.2%,University of the Sunshine Coast,Australia,34,-,-,-,1219,68.9
1273Top 6.3%,Warsaw University of Life Sciences,Poland,20,447,-,-,1223,68.9
1274Top 6.3%,Boise State University,USA,250,-,1649,-,1220,68.9
1275Top 6.3%,Texas State University,USA,251,-,1546,-,1222,68.9
1276Top 6.3%,Qingdao Agricultural University,China,196,-,-,-,1221,68.9
1277Top 6.3%,Smith College,USA,252,53,284,-,-,68.9
1278Top 6.3%,National University of Science and Technology MISiS,Russia,23,-,1306,-,1226,68.9
1279Top 6.3%,Hofstra University,USA,253,457,717,-,1247,68.9
1280Top 6.3%,University of Algarve,Portugal,7,-,-,-,1224,68.9
1281Top 6.3%,Erciyes University,Turkey,19,-,-,-,1225,68.9
1282Top 6.3%,West University of Timișoara,Romania,5,-,-,-,1227,68.9
1283Top 6.3%,Adıyaman University,Turkey,20,-,-,-,1228,68.9
1284Top 6.3%,University of Almería,Spain,44,-,-,-,1229,68.9
1285Top 6.3%,Manipal Academy of Higher Education,India,29,-,1064,-,1232,68.9
1286Top 6.3%,Guangzhou University of Chinese Medicine,China,197,-,-,-,1230,68.9
1287Top 6.3%,Istanbul University-Cerrahpaşa,Turkey,21,-,-,-,1231,68.9
1288Top 6.3%,Indian Association for the Cultivation of Science,India,30,-,-,-,1233,68.9
1289Top 6.3%,K. N. Toosi University of Technology,Iran,16,-,-,-,1234,68.9
1290Top 6.3%,Maria Sklodowska-Curie National Research Institute of Oncology,Poland,21,-,-,-,1235,68.9
1291Top 6.3%,Education University of Hong Kong,China,198,-,-,-,1236,68.8
1292Top 6.3%,Jordan University of Science and Technology,Jordan,1,-,-,-,1237,68.8
1293Top 6.3%,Anhui Agricultural University,China,199,-,-,-,1239,68.8
1294Top 6.4%,Xinjiang University,China,200,-,1344,-,1240,68.8
1295Top 6.4%,University of Yamanashi,Japan,61,177,-,-,1302,68.8
1296Top 6.4%,Liaocheng University,China,201,-,-,-,1241,68.8
1297Top 6.4%,Isfahan University of Medical Sciences,Iran,17,-,-,-,1242,68.8
1298Top 6.4%,Suez Canal University,Egypt,7,-,-,-,1244,68.8
1299Top 6.4%,Kasetsart University,Thailand,6,-,1700,-,1245,68.8
1300Top 6.4%,Rhodes University,South Africa,10,373,808,-,1257,68.8
1301Top 6.4%,Saitama Medical University,Japan,62,-,-,-,1246,68.8
1302Top 6.4%,Campus Bio-Medico University,Italy,55,-,-,-,1248,68.8
1303Top 6.4%,University of Greenwich,United Kingdom,71,238,1436,-,1287,68.8
1304Top 6.4%,University of Lincoln,United Kingdom,72,-,-,-,1249,68.8
1305Top 6.4%,Silesian University of Technology,Poland,22,-,1628,-,1250,68.8
1306Top 6.4%,Hirosaki University,Japan,63,-,1130,-,1254,68.8
1307Top 6.4%,University of León,Spain,45,-,-,-,1251,68.8
1308Top 6.4%,State University of Maringá,Brazil,35,-,-,-,1252,68.8
1309Top 6.4%,Wright State University,USA,254,-,-,-,1253,68.8
1310Top 6.4%,Dong-A University,South Korea,40,-,1106,-,1256,68.8
1311Top 6.4%,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,5,-,-,-,1255,68.8
1312Top 6.4%,China Three Gorges University,China,202,-,1204,-,1261,68.7
1313Top 6.4%,Chung Yuan Christian University,Taiwan,19,-,402,-,1328,68.7
1314Top 6.5%,Chengdu University of Technology,China,203,-,1659,-,1259,68.7
1315Top 6.5%,University of Stavanger,Norway,7,-,1549,-,1260,68.7
1316Top 6.5%,University of Camerino,Italy,56,-,-,-,1262,68.7
1317Top 6.5%,Shanghai Ocean University,China,204,-,-,-,1263,68.7
1318Top 6.5%,Kafkas University,Turkey,22,-,-,-,1265,68.7
1319Top 6.5%,"California State University, Fullerton",USA,255,-,1215,-,1267,68.7
1320Top 6.5%,Gdańsk University of Technology,Poland,23,-,1276,-,1266,68.7
1321Top 6.5%,Lakehead University,Canada,32,-,756,-,1285,68.7
1322Top 6.5%,Tianjin University of Science and Technology,China,205,-,1636,-,1268,68.7
1323Top 6.5%,Humanitas University,Italy,57,-,-,-,1269,68.7
1324Top 6.5%,TOBB University of Economics and Technology,Turkey,23,-,-,-,1270,68.7
1325Top 6.5%,Singapore Management University,Singapore,4,-,-,-,1271,68.7
1326Top 6.5%,Guilin University of Electronic Technology,China,206,-,-,-,1272,68.7
1327Top 6.5%,Shiraz University of Medical Sciences,Iran,18,-,-,-,1273,68.7
1328Top 6.5%,Tanta University,Egypt,8,-,-,-,1275,68.7
1329Top 6.5%,National University of Distance Education,Spain,46,-,1424,-,1277,68.7
1330Top 6.5%,Babol Noshirvani University of Technology,Iran,19,-,-,-,1276,68.7
1331Top 6.5%,Bohai University,China,207,-,1285,-,1280,68.7
1332Top 6.5%,Kōchi University,Japan,64,-,-,-,1278,68.7
1333Top 6.5%,Osnabrück University,Germany,59,-,-,-,1279,68.6
1334Top 6.5%,Soongsil University,South Korea,41,-,-,-,1281,68.6
1335Top 6.6%,Jeju National University,South Korea,42,-,-,-,1282,68.6
1336Top 6.6%,China Jiliang University,China,208,-,-,-,1283,68.6
1337Top 6.6%,Saga University,Japan,65,-,-,-,1284,68.6
1338Top 6.6%,University of South Africa,South Africa,11,-,945,-,1291,68.6
1339Top 6.6%,Institute of Solid State Physics of the Russian Academy of Sciences,Russia,24,47,-,-,-,68.6
1340Top 6.6%,Anhui University of Technology,China,209,-,900,-,1294,68.6
1341Top 6.6%,University of Bradford,United Kingdom,73,-,326,-,1383,68.6
1342Top 6.6%,Toulouse 1 Capitole University,France,55,-,-,257,1433,68.6
1343Top 6.6%,Kuwait University,Kuwait,1,-,1260,-,1290,68.6
1344Top 6.6%,Yantai University,China,210,-,-,-,1286,68.6
1345Top 6.6%,University of Alabama in Huntsville,USA,256,-,-,-,1288,68.6
1346Top 6.6%,University of Foggia,Italy,58,-,-,-,1292,68.6
1347Top 6.6%,Saitama University,Japan,66,384,949,-,1301,68.6
1348Top 6.6%,Shenyang Pharmaceutical University,China,211,-,-,-,1293,68.6
1349Top 6.6%,Tottori University,Japan,67,281,891,-,1317,68.6
1350Top 6.6%,Tabriz University of Medical Sciences,Iran,20,-,-,-,1295,68.6
1351Top 6.6%,Yangtze University,China,212,-,1040,-,1299,68.6
1352Top 6.6%,University of Costa Rica,Costa Rica,1,-,-,-,1297,68.6
1353Top 6.6%,Royal Veterinary College,United Kingdom,74,284,-,-,1314,68.6
1354Top 6.6%,College of the Holy Cross,USA,257,188,65,-,-,68.5
1355Top 6.6%,ESSEC Business School,France,56,-,66,-,-,68.5
1356Top 6.7%,Shanxi Medical University,China,213,-,-,-,1298,68.5
1357Top 6.7%,Istanbul Bilgi University,Turkey,24,-,-,-,1300,68.5
1358Top 6.7%,Thapar Institute of Engineering and Technology,India,31,-,821,-,1311,68.5
1359Top 6.7%,University of Jordan,Jordan,2,-,-,-,1303,68.5
1360Top 6.7%,Kanazawa Institute of Technology,Japan,68,173,-,66,-,68.5
1361Top 6.7%,University of Pau and Pays de l'Adour,France,57,-,-,-,1304,68.5
1362Top 6.7%,University of the Ryukyus,Japan,69,-,-,-,1305,68.5
1363Top 6.7%,École nationale vétérinaire d'Alfort,France,58,-,81,-,-,68.5
1364Top 6.7%,Southern Cross University,Australia,35,-,-,-,1306,68.5
1365Top 6.7%,University of Missouri-St. Louis,USA,258,-,392,-,1386,68.5
1366Top 6.7%,University of Yaoundé I,Cameroon,1,-,-,-,1307,68.5
1367Top 6.7%,Xi'an University of Architecture and Technology,China,214,-,1032,-,1313,68.5
1368Top 6.7%,University of Carthage,Tunisia,3,-,-,-,1308,68.5
1369Top 6.7%,University of Monastir,Tunisia,4,-,-,-,1309,68.5
1370Top 6.7%,"Indian Institute of Science Education and Research, Kolkata",India,32,-,-,-,1310,68.5
1371Top 6.7%,Lodz University of Technology,Poland,24,-,-,-,1312,68.5
1372Top 6.7%,SUNY College of Environmental Science and Forestry,USA,259,100,-,-,1573,68.5
1373Top 6.7%,Indian Institute of Technology Hyderabad,India,33,-,-,-,1315,68.5
1374Top 6.7%,University of Guadalajara,Mexico,10,-,-,-,1316,68.5
1375Top 6.7%,Asian Institute of Management,Philippines,1,-,47,-,-,68.5
1376Top 6.8%,Özyeğin University,Turkey,25,-,-,-,1318,68.4
1377Top 6.8%,Democritus University of Thrace,Greece,8,-,-,-,1319,68.4
1378Top 6.8%,University of the Aegean,Greece,9,-,-,-,1320,68.4
1379Top 6.8%,"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,34,-,714,-,1347,68.4
1380Top 6.8%,Clark University,USA,260,-,222,-,1511,68.4
1381Top 6.8%,Showa University,Japan,70,-,726,-,1348,68.4
1382Top 6.8%,South-Central Minzu University,China,215,-,1493,-,1322,68.4
1383Top 6.8%,Hyogo College of Medicine,Japan,71,-,-,-,1323,68.4
1384Top 6.8%,Shihezi University,China,216,-,-,-,1324,68.4
1385Top 6.8%,Kwame Nkrumah University of Science and Technology,Ghana,2,530,-,-,1325,68.4
1386Top 6.8%,University of Central Lancashire,United Kingdom,75,-,1355,-,1327,68.4
1387Top 6.8%,Kurume University,Japan,72,-,-,-,1326,68.4
1388Top 6.8%,National Taiwan Ocean University,Taiwan,20,-,1069,-,1333,68.4
1389Top 6.8%,University of Malawi,Malawi,1,-,-,-,1329,68.4
1390Top 6.8%,North China University of Science and Technology,China,217,-,-,-,1330,68.4
1391Top 6.8%,Atatürk University,Turkey,26,-,1571,-,1331,68.4
1392Top 6.8%,University of Limoges,France,59,-,-,-,1332,68.4
1393Top 6.8%,University of Dayton,USA,261,206,178,-,1669,68.4
1394Top 6.8%,Fayoum University,Egypt,9,-,-,-,1334,68.4
1395Top 6.8%,Indian Institute of Technology Indore,India,35,-,-,-,1335,68.4
1396Top 6.8%,University of South Alabama,USA,262,-,-,-,1336,68.4
1397Top 6.9%,Bowling Green State University,USA,263,-,725,-,1364,68.4
1398Top 6.9%,"California State University, Northridge",USA,264,-,1182,-,1342,68.3
1399Top 6.9%,University of Sharjah,United Arab Emirates,3,-,-,-,1337,68.3
1400Top 6.9%,Rowan University,USA,265,-,-,-,1338,68.3
1401Top 6.9%,Linnaeus University,Sweden,14,-,-,-,1339,68.3
1402Top 6.9%,Lanzhou University of Technology,China,218,-,-,-,1340,68.3
1403Top 6.9%,Anglia Ruskin University,United Kingdom,76,-,-,-,1341,68.3
1404Top 6.9%,Chosun University,South Korea,43,-,-,-,1343,68.3
1405Top 6.9%,"National Institute of Technology, Rourkela",India,36,-,279,-,1472,68.3
1406Top 6.9%,University of Namur,Belgium,10,339,562,-,1394,68.3
1407Top 6.9%,Istanbul Aydın University,Turkey,27,-,-,-,1344,68.3
1408Top 6.9%,SOAS University of London,United Kingdom,77,71,974,-,1876,68.3
1409Top 6.9%,Williams College,USA,266,168,115,-,-,68.3
1410Top 6.9%,Autonomous University of Nuevo León,Mexico,11,-,-,-,1345,68.3
1411Top 6.9%,Leuphana University of Lüneburg,Germany,60,-,-,-,1346,68.3
1412Top 6.9%,Inner Mongolia University,China,219,-,-,-,1349,68.3
1413Top 6.9%,Nagasaki Institute of Applied Science,Japan,73,-,-,-,1351,68.3
1414Top 6.9%,"University of Santiago, Chile",Chile,7,-,956,-,1362,68.3
1415Top 6.9%,Al-Azhar University,Egypt,10,-,1667,-,1353,68.3
1416Top 6.9%,Jacobs University,Germany,61,-,-,-,1352,68.3
1417Top 7%,Erzincan Binali Yıldırım University,Turkey,28,-,-,-,1354,68.3
1418Top 7%,University of Miyazaki,Japan,74,-,-,-,1355,68.3
1419Top 7%,Shanghai Maritime University,China,220,-,484,-,1407,68.3
1420Top 7%,Zhejiang Gongshang University,China,221,-,1376,-,1359,68.2
1421Top 7%,University of Huddersfield,United Kingdom,78,-,1613,-,1358,68.2
1422Top 7%,Incheon National University,South Korea,44,-,-,-,1360,68.2
1423Top 7%,Uludağ University,Turkey,29,-,-,-,1361,68.2
1424Top 7%,Selçuk University,Turkey,30,-,1488,-,1363,68.2
1425Top 7%,University of Nairobi,Kenya,1,-,1610,-,1365,68.2
1426Top 7%,Fukushima Medical University,Japan,75,-,-,-,1366,68.2
1427Top 7%,"University of Puerto Rico, Medical Sciences Campus",USA,267,-,-,-,1367,68.2
1428Top 7%,Kunming Medical University,China,222,-,-,-,1368,68.2
1429Top 7%,"Birla Institute of Technology and Science, Pilani",India,37,-,439,-,1429,68.2
1430Top 7%,B.I. Stepanov Institute of Physics of The National Academy of Sciences of Belarus,Belarus,2,-,-,-,1370,68.2
1431Top 7%,British University in Egypt,Egypt,11,-,-,-,1371,68.2
1432Top 7%,École des Hautes Études en Sciences Sociales,France,60,282,683,-,1412,68.2
1433Top 7%,Cha University,South Korea,45,-,-,-,1372,68.2
1434Top 7%,University of Beira Interior,Portugal,8,-,-,-,1373,68.2
1435Top 7%,Pavol Jozef Šafárik University in Košice,Slovak Republic,2,-,-,-,1374,68.2
1436Top 7%,Beijing University of Chinese Medicine,China,223,-,-,-,1375,68.2
1437Top 7%,Beijing Technology and Business University,China,224,-,662,-,1398,68.2
1438Top 7.1%,University of La Frontera,Chile,8,-,-,-,1376,68.2
1439Top 7.1%,Shimane University,Japan,76,-,-,-,1377,68.2
1440Top 7.1%,Oxford Brookes University,United Kingdom,79,-,-,-,1378,68.2
1441Top 7.1%,Shenyang Agricultural University,China,225,-,-,-,1379,68.2
1442Top 7.1%,"Vietnam National University, Ho Chi Minh City",Vietnam,4,-,-,-,1380,68.1
1443Top 7.1%,École de technologie supérieure,Canada,33,-,-,-,1381,68.1
1444Top 7.1%,University of San Francisco,USA,268,-,104,-,-,68.1
1445Top 7.1%,Dongguan University of Technology,China,226,-,-,-,1382,68.1
1446Top 7.1%,Pomeranian Medical University in Szczecin,Poland,25,-,-,-,1384,68.1
1447Top 7.1%,King Khalid University,Saudi Arabia,6,-,-,-,1385,68.1
1448Top 7.1%,Akdeniz University,Turkey,31,-,-,-,1387,68.1
1449Top 7.1%,Pontifical Catholic University of Valparaíso,Chile,9,-,-,-,1388,68.1
1450Top 7.1%,Savitribai Phule Pune University,India,38,548,1254,-,1391,68.1
1451Top 7.1%,Texas Christian University,USA,269,-,-,-,1389,68.1
1452Top 7.1%,Helwan University,Egypt,12,-,-,-,1390,68.1
1453Top 7.1%,Fukuoka University,Japan,77,-,-,-,1392,68.1
1454Top 7.1%,Central Michigan University,USA,270,-,923,-,1404,68.1
1455Top 7.1%,Karadeniz Technical University,Turkey,32,-,1189,-,1395,68.1
1456Top 7.1%,Hebei Normal University,China,227,-,1096,-,1399,68.1
1457Top 7.1%,North University of China,China,228,-,-,-,1396,68.1
1458Top 7.2%,Transilvania University of Brașov,Romania,6,-,-,-,1397,68.1
1459Top 7.2%,National University of Rosario,Argentina,4,-,-,-,1400,68.1
1460Top 7.2%,"Institute of Physics, Azerbaijan National Academy of Sciences",Azerbaijan,1,-,-,-,1401,68.1
1461Top 7.2%,Medical University of Lublin,Poland,26,-,-,-,1402,68.1
1462Top 7.2%,SRM Institute of Science and Technology,India,39,-,-,-,1403,68.1
1463Top 7.2%,Ilia State University,Georgia,2,-,-,-,1405,68.1
1464Top 7.2%,Western Michigan University,USA,271,-,1311,-,1406,68.1
1465Top 7.2%,Army Engineering University of PLA,China,229,-,-,-,1408,68.0
1466Top 7.2%,Beni Suef University,Egypt,13,-,-,-,1409,68.0
1467Top 7.2%,Taras Shevchenko National University of Kyiv,Ukraine,3,481,-,-,1410,68.0
1468Top 7.2%,University of Veterinary Medicine Hanover,Germany,62,380,-,-,1418,68.0
1469Top 7.2%,National Chengchi University,Taiwan,21,-,148,-,1796,68.0
1470Top 7.2%,National Kaohsiung University of Science and Technology,Taiwan,22,-,1641,-,1411,68.0
1471Top 7.2%,Doshisha University,Japan,78,-,128,-,1902,68.0
1472Top 7.2%,Shandong University of Technology,China,230,-,1526,-,1413,68.0
1473Top 7.2%,State University of Londrina,Brazil,36,-,-,-,1414,68.0
1474Top 7.2%,Hamad Bin Khalifa University,Qatar,2,-,-,-,1415,68.0
1475Top 7.2%,"École supérieure de chimie, physique, électronique de Lyon",France,61,30,962,-,-,68.0
